node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G75,XOR2_X1,B4_7,False,1.333,0.08532999999999999,0.07866400000000001,1.4415204999999998,1.4348545,1.295664,1.3121645,-0.14585649999999983,-0.12268999999999997,-0.14585649999999983
G85,OR2_X1,B5_7,False,2.0,0.07500000000000001,0.063,1.4225214999999998,1.399355,1.2751675,1.2751675,-0.14735399999999976,-0.1241874999999999,-0.14735399999999976
G95,NAND3_X1,B6_7,False,2.333,0.070663,0.072329,1.4035264999999997,1.4125264999999998,1.2593329999999998,1.2671635,-0.14419349999999986,-0.1453629999999997,-0.1453629999999997
G105,AND3_X1,B7_7,False,2.333,0.0858305,0.079331,1.4743599999999997,1.4271904999999998,1.327,1.2821655,-0.1473599999999997,-0.14502499999999974,-0.1473599999999997
G115,NAND2_X1,B8_7,False,1.667,0.047503500000000004,0.043003,1.4023589999999997,1.4586939999999997,1.3346700000000002,1.3136700000000001,-0.06768899999999944,-0.1450239999999996,-0.1450239999999996
G46,NOR3_X1,B1_8,False,1.667,0.085006,0.053336,1.4975324999999997,1.4568624999999997,1.3531695000000001,1.313669,-0.14436299999999957,-0.14319349999999975,-0.14436299999999957
G56,OR3_X1,B2_8,False,1.333,0.089997,0.07633100000000001,1.5643569999999998,1.5035214999999997,1.418997,1.3604965,-0.1453599999999997,-0.14302499999999974,-0.1453599999999997
G66,NOR2_X1,B3_8,False,2.0,0.066,0.045,1.5246939999999998,1.4473589999999996,1.3796700000000002,1.3796700000000002,-0.1450239999999996,-0.06768899999999944,-0.1450239999999996
G76,AND2_X1,B4_8,False,1.667,0.063336,0.0588355,1.5048564999999998,1.49369,1.359,1.371,-0.14585649999999983,-0.12268999999999997,-0.14585649999999983
G86,XNOR2_X1,B5_8,False,1.667,0.0935035,0.0861695,1.5160249999999997,1.5086909999999998,1.368671,1.3633370000000002,-0.14735399999999976,-0.14535399999999954,-0.14735399999999976
G96,NOR3_X1,B6_8,False,1.667,0.085006,0.053336,1.4975324999999997,1.4568624999999997,1.3521695,1.3126689999999999,-0.1453629999999997,-0.14419349999999986,-0.1453629999999997
G106,OR3_X1,B7_8,False,1.333,0.089997,0.07633100000000001,1.5643569999999998,1.5035214999999997,1.416997,1.3584965,-0.1473599999999997,-0.14502499999999974,-0.1473599999999997
G116,NOR2_X1,B8_8,False,2.0,0.066,0.045,1.5246939999999998,1.4473589999999996,1.3796700000000002,1.3796700000000002,-0.1450239999999996,-0.06768899999999944,-0.1450239999999996
G47,AND3_X1,B1_9,False,2.333,0.0858305,0.079331,1.5833629999999996,1.5361934999999998,1.439,1.393,-0.14436299999999957,-0.14319349999999975,-0.14436299999999957
G57,NAND2_X1,B2_9,False,1.667,0.047503500000000004,0.043003,1.5510249999999997,1.6073599999999997,1.408,1.462,-0.14302499999999974,-0.1453599999999997,-0.1453599999999997
G67,XOR2_X1,B3_9,False,1.333,0.08532999999999999,0.07866400000000001,1.6100239999999997,1.6033579999999998,1.465,1.459,-0.1450239999999996,-0.14435799999999976,-0.1450239999999996
G77,OR2_X1,B4_9,False,2.0,0.07500000000000001,0.063,1.5798564999999998,1.55669,1.434,1.434,-0.14585649999999983,-0.12268999999999997,-0.14585649999999983
G87,NAND3_X1,B5_9,False,2.333,0.070663,0.072329,1.5793539999999997,1.5883539999999998,1.4340000000000002,1.441,-0.14535399999999954,-0.14735399999999976,-0.14735399999999976
G97,AND3_X1,B6_9,False,2.333,0.0858305,0.079331,1.5833629999999996,1.5361934999999998,1.438,1.392,-0.1453629999999997,-0.14419349999999986,-0.1453629999999997
G107,NAND2_X1,B7_9,False,1.667,0.047503500000000004,0.043003,1.5510249999999997,1.6073599999999997,1.406,1.46,-0.14502499999999974,-0.1473599999999997,-0.1473599999999997
G117,XOR2_X1,B8_9,False,1.333,0.08532999999999999,0.07866400000000001,1.6100239999999997,1.6033579999999998,1.465,1.459,-0.1450239999999996,-0.14435799999999976,-0.1450239999999996
G48,OR3_X1,O1,True,10.0,0.168,0.137,1.7513629999999996,1.6731934999999998,1.607,1.53,-0.14436299999999957,-0.14319349999999975,-0.14436299999999957
G58,NOR2_X1,O2,True,12.0,0.20600000000000002,0.12,1.8133599999999996,1.6710249999999998,1.668,1.528,-0.1453599999999997,-0.14302499999999974,-0.1453599999999997
G68,AND2_X1,O3,True,14.0,0.162,0.139,1.7720239999999996,1.7423579999999999,1.627,1.598,-0.1450239999999996,-0.14435799999999976,-0.1450239999999996
G78,XNOR2_X1,O4,True,16.0,0.244,0.20800000000000002,1.8238564999999998,1.7878564999999997,1.678,1.642,-0.14585649999999983,-0.14585649999999983,-0.14585649999999983
G88,NOR3_X1,O5,True,18.0,0.37900000000000006,0.18400000000000002,1.9673539999999998,1.7633539999999996,1.82,1.618,-0.14735399999999976,-0.14535399999999954,-0.14735399999999976
G98,OR3_X1,O6,True,20.0,0.258,0.20700000000000002,1.8413629999999996,1.7431934999999998,1.696,1.599,-0.1453629999999997,-0.14419349999999986,-0.1453629999999997
G108,NOR2_X1,O7,True,22.0,0.346,0.19499999999999998,1.9533599999999995,1.7460249999999997,1.806,1.601,-0.1473599999999995,-0.14502499999999974,-0.1473599999999995
G118,AND2_X1,O8,True,24.0,0.242,0.20400000000000001,1.8520239999999997,1.8073579999999998,1.707,1.663,-0.1450239999999996,-0.14435799999999976,-0.1450239999999996
